ik,n,t,eps,lam_1s,E0eff_1s,lam
1,1,0.0,-0.0911079442,0.01159257272218338,0.6199148176420481,0.01159257272218338
1,2,0.0,0.5384482784,0.0006303128077703681,0.34829597148425717,0.0006303128077703681
1,3,0.0,0.5384482784,0.0006303128077740416,0.3482959714842847,0.0006303128077740416
1,4,0.0,0.5384482784,0.0006303128077698905,0.3482959714842069,0.0006303128077698905
1,5,0.0,0.7286118165,0.000563445058888318,0.3502662967854334,0.000563445058888318
1,6,0.0,0.7286118165,0.0005634450588889122,0.3502662967855897,0.0005634450588889122
1,7,0.0,0.7286118165,0.0005634450588933574,0.35026629678556176,0.0005634450588933574
1,8,0.0,0.7657170686,0.0005469215862552657,0.3500910300979413,0.0005469215862552657
2,1,0.032258,-0.0909321641,0.011581890432658302,0.6198225092334086,0.011581890432658302
2,2,0.032258,0.5374127546,0.0006370850259329764,0.3493643985728588,0.0006370850259329764
2,3,0.032258,0.537565934,0.0006346308491656212,0.3489343496095881,0.0006346308491656212
2,4,0.032258,0.5381820601,0.0006318658436419403,0.3485337593078412,0.0006318658436419403
2,5,0.032258,0.7250898973,0.0005754001427275779,0.352167083364733,0.0005754001427275779
2,6,0.032258,0.725682417,0.000575134326685622,0.3522037324354682,0.000575134326685622
2,7,0.032258,0.7299535576,0.0005595807417245321,0.34969278840679974,0.0005595807417245321
2,8,0.032258,0.7563800377,0.0005669480280635274,0.35306340453468055,0.0005669480280635274
3,1,0.064516,-0.0904048118,0.011552728640529397,0.6195772022471602,0.011552728640529397
3,2,0.064516,0.5342849665,0.0006577549308788412,0.3525576802912321,0.0006577549308788412
3,3,0.064516,0.5349936227,0.0006470875066632813,0.35074885630548297,0.0006470875066632813
3,4,0.064516,0.5373851671,0.00063654604397277,0.34924798135992136,0.00063654604397277
3,5,0.064516,0.7158417125,0.0006123119185410798,0.35805265465333785,0.0006123119185410798
3,6,0.064516,0.7166144025,0.0006008513527590024,0.35599802290843297,0.0006008513527590024
3,7,0.064516,0.7339040359,0.0005485572315188216,0.3480419877263607,0.0005485572315188216
3,8,0.064516,0.7498846929,0.000564290471342814,0.35211178223416134,0.000564290471342814
4,1,0.096774,-0.0895258298,0.011503980267182069,0.6191648610112445,0.011503980267182069
