ik,n,t,eps,lam_1s,E0eff_1s,lam_2s,E0eff_2s,lam_2p,E0eff_2p,lam
1,1,0.0,-0.0938534635,2.7853202331890534e-06,2.3687005395340837,0.001954424837308445,0.3138817938123547,0.00166633838717626,1.928643371076828,0.003623548544717894
1,2,0.0,0.4460470133,2.4923121668261304e-06,2.3270321133815934,0.00016912185276061505,0.18251286152809826,0.07704838297381786,2.2076863764222594,0.0772199971387453
1,3,0.0,0.4460470133,2.492312166878523e-06,2.3270321133809992,0.00016912185276303743,0.1825128615279265,0.0770483829750091,2.207686376418517,0.07721999713993902
1,4,0.0,0.4460470133,2.492312166875151e-06,2.3270321133815846,0.0001691218527639248,0.1825128615280958,0.07704838297532693,2.207686376422204,0.07721999714025773
1,5,0.0,0.48190176,2.4874545982715682e-06,2.3269894780250406,0.00016366852551609137,0.18226153847230656,0.07337971834386213,2.2059084636874124,0.0735458743239765
1,6,0.0,0.48190176,2.487454598267792e-06,2.32698947802532,0.00016366852551659498,0.18226153847247586,0.07337971834397831,2.2059084636897413,0.07354587432409318
1,7,0.0,0.4836973687,2.4903873984310412e-06,2.327609738776327,0.00016525750608458394,0.18262711080326807,0.07378083674849834,2.210782171900885,0.07394858464198135
1,8,0.0,0.4836973687,2.490387398382309e-06,2.327609738776331,0.00016525750608137104,0.18262711080327468,0.07378083674705885,2.210782171900939,0.0739485846405386
2,1,0.841529,0.0130470799,2.72990480689236e-06,2.3614081751725373,0.0012608230789379004,0.2890986231275467,0.12415351862125994,2.810601612709932,0.12541707160500473
2,2,0.841529,0.1071802856,2.6800010055346335e-06,2.3546172984712883,0.0008520187386927666,0.26745935752250116,0.14320028322888692,2.6838160833956497,0.1440549819685852
2,3,0.841529,0.3244398276,2.560426290660624e-06,2.337378575345856,0.00031107070308546695,0.21296521736166732,0.10497957240343152,2.375746886252146,0.10529320353280765
2,4,0.841529,0.339388407,2.5607305741810716e-06,2.337817841337167,0.00030925936690538464,0.21317239595560478,0.10325320970745094,2.3791714059490507,0.10356502980493051
2,5,0.841529,0.3520926409,2.5588744911735194e-06,2.337789285995548,0.00030580964086287913,0.21314264300506916,0.10136640687219373,2.3788462320491788,0.10167477538754778
2,6,0.841529,0.3901964421,2.5368115189075726e-06,2.3345228152909625,0.00027734492258874846,0.21047423271580568,0.09198752796298096,2.343366293434706,0.09226740969708862
2,7,0.841529,0.5795796766,2.4374758838997796e-06,2.319353070219854,0.00010111895389754043,0.1599706235236392,0.056760684083125026,2.086531280049284,0.056864240512906464
2,8,0.841529,0.6007928795,2.429338158100895e-06,2.318268002821295,0.0001002800980324888,0.16127726021511338,0.05441392044590334,2.079564217178846,0.05451662988209393
3,1,0.816848,0.0070120438,2.733017247101434e-06,2.361822835886591,0.001292901139862803,0.29051821773273295,0.12087337815137672,2.8181947956307076,0.12216901230848662
3,2,0.816848,0.1154836097,2.675684979900636e-06,2.3540247314138942,0.0008223972075711503,0.2654994717788034,0.14314229327496217,2.6726724624058757,0.1439673661675132
3,3,0.816848,0.3256840529,2.559796709380753e-06,2.3372877345879783,0.0003093962743482789,0.21269386575322696,0.10468782470867083,2.37421390384904,0.10499978077972849
3,4,0.816848,0.3404323142,2.560111876346797e-06,2.3377239803315257,0.0003076424636781223,0.21290155156892615,0.10299461507924826,2.3776187284150097,0.10330481765480273
3,5,0.816848,0.3532450637,2.5582533515272585e-06,2.337697646198969,0.00030419793383651016,0.2128735792233618,0.10110093465813111,2.377314886967912,0.10140769084531914
