ik,n,t,eps,lam_1s,E0eff_1s,lam_2s,E0eff_2s,lam_2p,E0eff_2p,lam
1,1,0.0,-0.0511298556,2.5526190409031e-06,2.804044276410406,0.0007842028740979223,0.3708355293276059,0.00023077265574263537,2.011159836375479,0.0010175281488814607
1,2,0.0,0.8216550482,2.230947808612521e-06,2.742563106725502,7.114773008366863e-05,0.2140889357258091,0.02200746615020374,2.7863583152335893,0.02208084482809602
1,3,0.0,0.8216550482,2.230947808603475e-06,2.7425631067235137,7.114773008280475e-05,0.21408893572572427,0.022007466149947183,2.78635831522681,0.02208084482783859
1,4,0.0,0.8216550482,2.2309478086402056e-06,2.7425631067242904,7.114773008420459e-05,0.21408893572575755,0.022007466150376128,2.7863583152295175,0.022080844828268973
1,5,0.0,0.857115154,2.240918030839069e-06,2.7456933160856725,7.02586159882689e-05,0.21278443504505248,0.021968696358870273,2.7946843125462904,0.02204119589288938
1,6,0.0,0.857115154,2.2409180308384677e-06,2.7456933160868533,7.025861599030445e-05,0.21278443504691746,0.021968696359039575,2.7946843125593035,0.02204119589306072
1,7,0.0,0.857115154,2.2409180308491785e-06,2.7456933160870527,7.025861599093808e-05,0.2127844350471779,0.021968696359173038,2.794684312561295,0.022041195893194827
1,8,0.0,0.9671090558,2.2360342267605586e-06,2.7467253571780827,6.928799626840008e-05,0.21473181333200553,0.02081433086028546,2.8077858769145707,0.02088585489078062
2,1,0.00059,-0.0511297405,2.552618283603997e-06,2.8040441010988126,0.0007841985100669213,0.3708350355621173,0.0002307939118704554,2.0112238542676866,0.0010175450402209805
2,2,0.00059,0.8216521604,2.230950933006275e-06,2.7425638531721215,7.114902706115687e-05,0.21408994254824432,0.022007618567950908,2.7863646570150142,0.02208099854594507
2,3,0.00059,0.8216521604,2.2309509330066726e-06,2.742563853172906,7.114902706142971e-05,0.21408994254830144,0.022007618568026206,2.786364657018046,0.022080998546020643
2,4,0.00059,0.8216540965,2.230948471423438e-06,2.742563261559585,7.114812015719783e-05,0.21408927057549695,0.02200750374139021,2.786360015172133,0.022080882810018833
2,5,0.00059,0.8571148696,2.240918216997692e-06,2.7456933597960473,7.025875540958238e-05,0.21278456575227014,0.021968707492756354,2.7946848735771974,0.022041207166382935
2,6,0.00059,0.8571182002,2.2409148508882317e-06,2.7456925638230376,7.025733782231025e-05,0.2127834418760039,0.0219685429941743,2.794677974969006,0.022041041246847498
2,7,0.00059,0.8571182002,2.240914850884535e-06,2.7456925638230403,7.025733782219989e-05,0.21278344187600934,0.02196854299413841,2.7946779749690376,0.022041041246811496
