r_bohr,u_c,V_H_c
0.27800,2.34278322e-01,3.59689830e+00
0.28000,2.27341045e-01,3.57122362e+00
0.28200,2.20600370e-01,3.54591180e+00
0.28400,2.14051138e-01,3.52095527e+00
0.28600,2.07688307e-01,3.49634666e+00
0.28800,2.01506947e-01,3.47207882e+00
0.29000,1.95502242e-01,3.44814477e+00
0.29200,1.89669483e-01,3.42453771e+00
0.29400,1.84004071e-01,3.40125104e+00
0.29600,1.78501516e-01,3.37827833e+00
0.29800,1.73157432e-01,3.35561331e+00
0.30000,1.67967534e-01,3.33324987e+00
0.30200,1.62927645e-01,3.31118207e+00
0.30400,1.58033682e-01,3.28940412e+00
0.30600,1.53281666e-01,3.26791037e+00
0.30800,1.48667711e-01,3.24669532e+00
0.31000,1.44188027e-01,3.22575361e+00
0.31200,1.39838920e-01,3.20508002e+00
0.31400,1.35616783e-01,3.18466945e+00
0.31600,1.31518104e-01,3.16451692e+00
0.31800,1.27539454e-01,3.14461761e+00
0.32000,1.23677494e-01,3.12496677e+00
0.32200,1.19928969e-01,3.10555981e+00
0.32400,1.16290705e-01,3.08639222e+00
0.32600,1.12759611e-01,3.06745961e+00
0.32800,1.09332676e-01,3.04875770e+00
0.33000,1.06006965e-01,3.03028231e+00
0.33200,1.02779620e-01,3.01202937e+00
0.33400,9.96478571e-02,2.99399487e+00
0.33600,9.66089666e-02,2.97617495e+00
0.33800,9.36603087e-02,2.95856579e+00
0.34000,9.07993137e-02,2.94116369e+00
0.34200,8.80234798e-02,2.92396502e+00
0.34400,8.53303720e-02,2.90696624e+00
0.34600,8.27176201e-02,2.89016390e+00
0.34800,8.01829174e-02,2.87355461e+00
0.35000,7.77240193e-02,2.85713507e+00
0.35200,7.53387416e-02,2.84090205e+00
0.35400,7.30249593e-02,2.82485240e+00
0.35600,7.07806052e-02,2.80898303e+00
0.35800,6.86036681e-02,2.79329092e+00
0.36000,6.64921920e-02,2.77777312e+00
0.36200,6.44442743e-02,2.76242674e+00
0.36400,6.24580650e-02,2.74724898e+00
0.36600,6.05317646e-02,2.73223705e+00
0.36800,5.86636238e-02,2.71738826e+00
0.37000,5.68519414e-02,2.70269998e+00
0.37200,5.50950637e-02,2.68816960e+00
0.37400,5.33913830e-02,2.67379461e+00
0.37600,5.17393363e-02,2.65957252e+00
0.37800,5.01374047e-02,2.64550091e+00
0.38000,4.85841117e-02,2.63157741e+00
0.38200,4.70780222e-02,2.61779968e+00
0.38400,4.56177419e-02,2.60416545e+00
0.38600,4.42019157e-02,2.59067250e+00
0.38800,4.28292267e-02,2.57731864e+00
0.39000,4.14983958e-02,2.56410173e+00
0.39200,4.02081798e-02,2.55101968e+00
0.39400,3.89573713e-02,2.53807043e+00
0.39600,3.77447971e-02,2.52525197e+00
0.39800,3.65693177e-02,2.51256234e+00
0.40000,3.54298263e-02,2.49999959e+00
0.40200,3.43252478e-02,2.48756184e+00
0.40400,3.32545381e-02,2.47524723e+00
0.40600,3.22166830e-02,2.46305394e+00
0.40800,3.12106979e-02,2.45098018e+00
0.41000,3.02356265e-02,2.43902422e+00
0.41200,2.92905401e-02,2.42718433e+00
0.41400,2.83745372e-02,2.41545883e+00
0.41600,2.74867424e-02,2.40384607e+00
0.41800,2.66263057e-02,2.39234444e+00
0.42000,2.57924019e-02,2.38095234e+00
0.42200,2.49842302e-02,2.36966822e+00
0.42400,2.42010127e-02,2.35849056e+00
0.42600,2.34419948e-02,2.34741785e+00
0.42800,2.27064438e-02,2.33644861e+00
0.43000,2.19936484e-02,2.32558142e+00
0.43200,2.13029185e-02,2.31481485e+00
0.43400,2.06335843e-02,2.30414751e+00
0.43600,1.99849955e-02,2.29357803e+00
0.43800,1.93565212e-02,2.28310507e+00
0.44000,1.87475493e-02,2.27272733e+00
0.44200,1.81574855e-02,2.26244350e+00
0.44400,1.75857535e-02,2.25225231e+00
0.44600,1.70317938e-02,2.24215253e+00
0.44800,1.64950637e-02,2.23214292e+00
0.45000,1.59750365e-02,2.22222229e+00
0.45200,1.54712015e-02,2.21238945e+00
0.45400,1.49830629e-02,2.20264324e+00
0.45600,1.45101399e-02,2.19298252e+00
0.45800,1.40519661e-02,2.18340618e+00
0.46000,1.36080889e-02,2.17391311e+00
0.46200,1.31780695e-02,2.16450223e+00
0.46400,1.27614819e-02,2.15517247e+00
0.46600,1.23579133e-02,2.14592281e+00
0.46800,1.19669632e-02,2.13675219e+00
0.47000,1.15882429e-02,2.12765963e+00
0.47200,1.12213757e-02,2.11864412e+00
0.47400,1.08659961e-02,2.10970469e+00
0.47600,1.05217498e-02,2.10084039e+00
0.47800,1.01882931e-02,2.09205026e+00
0.48000,9.86529255e-03,2.08333338e+00
0.48200,9.55242505e-03,2.07468884e+00
0.48400,9.24937715e-03,2.06611575e+00
0.48600,8.95584493e-03,2.05761321e+00
0.48800,8.67153370e-03,2.04918037e+00
0.49000,8.39615773e-03,2.04081637e+00
0.49200,8.12943996e-03,2.03252036e+00
0.49400,7.87111177e-03,2.02429153e+00
0.49600,7.62091272e-03,2.01612907e+00
0.49800,7.37859033e-03,2.00803216e+00
0.50000,7.14389978e-03,2.00000003e+00
0.50200,6.91660377e-03,1.99203190e+00
0.50400,6.69647222e-03,1.98412701e+00
0.50600,6.48328209e-03,1.97628461e+00
0.50800,6.27681719e-03,1.96850396e+00
0.51000,6.07686792e-03,1.96078434e+00
0.51200,5.88323112e-03,1.95312502e+00
0.51400,5.69570986e-03,1.94552531e+00
0.51600,5.51411326e-03,1.93798452e+00
